策略名称,持有天数,交易次数,胜率(>0%),胜率(>1%),平均收益率(%),最大收益率(%),最大亏损率(%),中位数收益率(%),标准差(%)
均线金叉+量能确认,5,51403,48.16,39.02,0.4347,141.7391,-37.4427,-0.1216,7.0187
均线金叉+量能确认,10,50788,51.91,45.85,1.2032,338.6632,-62.1564,0.3636,10.154
均线金叉+量能确认,15,50021,52.62,47.7,1.7456,765.7929,-64.482,0.5495,12.7536
均线金叉+量能确认,20,49031,53.0,49.05,2.3381,1058.3224,-74.8414,0.7707,15.4647
均线金叉+量能确认,30,47712,53.44,50.27,3.6849,1034.9934,-78.0127,1.0716,18.7311
均线金叉+量能确认,40,46505,54.83,52.01,5.2782,983.3552,-83.0867,1.6832,21.7283
均线金叉+量能确认,50,44361,56.49,53.7,6.9359,1109.6986,-86.3265,2.3529,24.4063
均线金叉+量能确认,60,42139,58.46,55.75,8.5524,979.2923,-77.7262,3.1589,27.1272
箱体底部反弹,5,51768,60.72,50.47,1.5298,143.7661,-53.5065,1.0392,5.9933
箱体底部反弹,10,50729,60.63,53.82,2.3935,314.9254,-59.1588,1.543,8.8269
箱体底部反弹,15,47480,60.31,55.12,3.2615,235.4774,-71.2418,1.9322,11.0515
箱体底部反弹,20,46867,63.52,59.32,4.8964,303.1465,-74.4208,3.0303,13.42
箱体底部反弹,30,44545,66.11,62.44,6.6047,307.154,-78.9883,4.1379,16.8381
箱体底部反弹,40,43504,67.41,64.18,8.606,376.8311,-84.4523,5.4224,19.8236
箱体底部反弹,50,42296,66.71,63.77,9.8219,411.5097,-78.6047,5.6462,22.2026
箱体底部反弹,60,38549,68.98,66.33,12.3616,507.3244,-84.3458,7.2539,25.3
连跌反弹,5,89405,52.11,44.54,0.8375,112.341,-40.6452,0.3138,7.2356
连跌反弹,10,88730,54.36,49.1,1.3922,314.9254,-50.5618,0.8394,10.6975
连跌反弹,15,84896,53.27,49.17,2.1439,317.937,-57.6208,0.7982,12.8184
连跌反弹,20,83652,55.13,51.46,3.5673,461.1789,-64.2292,1.3828,15.0211
连跌反弹,30,79624,57.59,54.66,5.6921,444.7799,-69.8039,2.5046,19.0856
连跌反弹,40,77129,59.48,56.75,7.6632,384.7558,-74.6875,3.5019,22.2286
连跌反弹,50,75618,61.15,58.51,8.9038,1088.0,-78.6047,4.202,24.6311
连跌反弹,60,73915,59.31,56.74,9.3265,1156.5161,-81.8987,3.6392,26.7219
多指标共振,5,15893,48.93,40.23,0.7329,141.7391,-35.5311,-0.0477,6.7007
多指标共振,10,15731,51.66,45.92,1.4437,157.1069,-53.4571,0.349,9.7723
多指标共振,15,15506,54.03,49.26,2.1706,174.1509,-60.7562,0.8519,11.659
多指标共振,20,15197,54.04,50.27,2.6357,228.805,-60.5809,1.071,13.7139
多指标共振,30,14636,53.53,50.28,3.6167,230.9278,-74.359,1.0873,16.9777
多指标共振,40,14211,55.46,52.53,5.2666,296.7093,-76.3838,1.847,20.0058
多指标共振,50,13245,58.84,56.01,7.6857,356.4677,-81.4815,2.9591,23.079
多指标共振,60,12093,61.13,58.51,9.6824,385.835,-74.8588,4.1828,26.0487
