策略名称,持有天数,交易次数,胜率(>0%),胜率(>1%),平均收益率(%),最大收益率(%),最大亏损率(%),中位数收益率(%),标准差(%)
均线金叉+量能确认,5,1906,45.38,34.84,0.1147,61.2613,-26.1062,-0.351,5.926
均线金叉+量能确认,10,1891,49.34,42.36,0.8151,79.7244,-35.7301,0.0,8.8066
均线金叉+量能确认,15,1849,48.95,43.48,0.9283,127.7559,-49.1701,0.0,10.7842
均线金叉+量能确认,20,1815,48.98,43.75,1.3021,118.3071,-60.5809,0.0,11.9986
均线金叉+量能确认,30,1766,48.19,44.0,1.6851,173.6318,-63.9442,-0.219,14.127
均线金叉+量能确认,40,1707,50.38,47.28,3.014,184.204,-67.6349,0.177,17.1463
均线金叉+量能确认,50,1628,53.69,50.0,4.3414,356.4677,-70.5179,1.0128,19.5192
均线金叉+量能确认,60,1557,56.01,52.67,5.6306,254.2857,-55.4629,1.9549,20.8113
箱体底部反弹,5,1848,61.69,49.73,1.4133,61.2613,-23.0583,0.9611,6.7645
箱体底部反弹,10,1806,59.91,52.66,2.0881,81.5686,-40.553,1.3576,9.4591
箱体底部反弹,15,1687,58.92,53.41,2.3784,93.3333,-53.9171,1.5625,11.2512
箱体底部反弹,20,1655,61.39,56.8,3.6918,117.8054,-60.5809,2.2928,13.3198
箱体底部反弹,30,1547,63.48,58.82,5.0412,142.6501,-52.7778,2.8213,15.6313
箱体底部反弹,40,1494,66.33,62.32,6.7278,165.4194,-67.6349,4.1208,16.8611
箱体底部反弹,50,1442,64.36,61.3,7.05,187.7419,-58.4615,4.22,17.282
箱体底部反弹,60,1327,70.16,66.62,9.3192,339.7419,-48.7985,6.0453,19.674
连跌反弹,5,2845,52.9,45.27,0.7238,45.2846,-23.1454,0.4149,6.6274
连跌反弹,10,2810,56.41,50.6,1.8252,92.9329,-40.5138,1.0913,9.7076
连跌反弹,15,2712,56.19,51.18,2.2544,92.9453,-53.9526,1.2995,11.3907
连跌反弹,20,2674,56.17,52.8,3.3656,95.3461,-64.2292,1.6393,13.3891
连跌反弹,30,2549,55.43,52.57,4.247,150.5814,-56.7194,1.6435,16.4376
连跌反弹,40,2470,55.43,52.23,4.9931,260.2326,-70.751,1.649,20.0388
连跌反弹,50,2410,56.85,54.27,6.0951,308.7071,-58.4615,2.1075,21.4105
连跌反弹,60,2340,56.28,52.52,6.4521,328.3641,-71.6102,1.7858,22.8652
多指标共振,5,525,42.67,35.24,0.1246,34.067,-18.0743,-0.6608,5.6239
多指标共振,10,522,48.66,41.19,0.5951,76.7442,-34.2324,-0.124,9.3202
多指标共振,15,513,48.54,44.05,0.6475,91.8605,-49.1701,-0.1949,10.6206
多指标共振,20,510,51.76,47.65,1.1901,84.8837,-60.5809,0.4975,11.6632
多指标共振,30,488,48.36,44.26,1.6902,173.6318,-63.9442,-0.3786,15.9584
多指标共振,40,458,52.18,48.47,3.1138,184.204,-67.6349,0.6282,17.4863
多指标共振,50,430,56.74,53.26,4.8834,356.4677,-70.5179,1.712,23.7443
多指标共振,60,402,60.45,56.47,6.8777,226.4026,-33.2075,2.7746,24.6437
