策略名称,持有天数,交易次数,胜率(>0%),胜率(>1%),平均收益率(%),最大收益率(%),最大亏损率(%),中位数收益率(%),标准差(%),夏普比率,最大回撤(%),卡玛比率,盈亏比,平均盈利(%),平均亏损(%),胜率p值,收益CI下界,收益CI上界
均线金叉+量能确认,5,51403,38.63,30.78,-0.6226,132.8884,-37.5472,-1.2224,7.0658,-0.6654,-88.51,-0.3545,0.7668,5.2993,-4.3502,1.0,-0.6831,-0.5603
均线金叉+量能确认,10,50788,45.01,38.78,0.1432,337.0794,-64.3033,-0.828,10.1864,0.0315,-90.43,0.0399,1.0443,7.4983,-5.8776,1.0,0.0555,0.2313
均线金叉+量能确认,15,50021,46.94,42.0,0.686,763.9528,-66.6275,-0.5814,12.7828,0.1818,-88.97,0.1295,1.1877,9.2481,-6.888,1.0,0.5743,0.8005
均线金叉+量能确认,20,49031,48.33,44.37,1.2731,1056.3068,-76.9807,-0.3958,15.48,0.2555,-87.14,0.1841,1.3047,11.2783,-8.0859,1.0,1.1373,1.4107
均线金叉+量能确认,30,47712,49.63,46.33,2.6165,1032.9918,-80.15,-0.0716,18.7608,0.3674,-80.66,0.2725,1.585,14.2853,-8.8798,0.948429,2.4556,2.7878
均线金叉+量能确认,40,46505,51.47,48.45,4.2111,981.3845,-85.221,0.493,21.7499,0.4493,-73.71,0.3599,1.9305,16.9743,-9.3262,0.0,4.0136,4.4105
均线金叉+量能确认,50,44361,53.18,50.45,5.8697,1107.6521,-88.3856,1.1503,24.4331,0.5029,-34.22,0.8645,2.3539,19.1896,-9.2594,0.0,5.6461,6.0971
均线金叉+量能确认,60,42139,55.33,52.66,7.4756,977.3241,-80.0698,1.9554,27.147,0.5284,-36.88,0.8514,2.7552,21.2073,-9.5355,0.0,7.2225,7.7336
箱体底部反弹,5,51768,49.49,39.57,0.4161,142.75,-56.1418,-0.0704,6.0984,0.4382,-79.17,0.2649,1.2297,4.5022,-3.5871,0.990081,0.3639,0.4688
箱体底部反弹,10,50729,53.14,46.23,1.2787,299.741,-61.8374,0.4526,8.8667,0.679,-70.46,0.4573,1.5611,6.695,-4.8637,0.0,1.2014,1.3547
箱体底部反弹,15,47480,54.52,49.06,2.1405,234.2611,-77.805,0.8292,11.0951,0.7467,-75.79,0.4745,1.8076,8.7884,-5.8277,0.0,2.0452,2.2413
箱体底部反弹,20,46867,58.66,54.17,3.7777,301.9113,-77.5109,1.9106,13.4471,0.9553,-80.83,0.5889,2.4199,10.9751,-6.4358,0.0,3.6571,3.8989
箱体底部反弹,30,44545,61.84,57.95,5.4903,305.3445,-82.902,3.0511,16.8431,0.9038,-78.74,0.5857,2.9768,13.3702,-7.2774,0.0,5.335,5.6471
箱体底部反弹,40,43504,63.86,60.44,7.4963,375.0402,-88.0052,4.2992,19.8209,0.9091,-61.75,0.7649,3.6153,16.228,-7.9303,0.0,7.3079,7.6817
箱体底部反弹,50,42296,63.43,60.32,8.7151,409.698,-80.9531,4.5472,22.1907,0.8415,-36.37,1.2077,3.9673,18.3703,-8.0312,0.0,8.5035,8.9257
箱体底部反弹,60,38549,66.05,63.41,11.2489,505.4552,-86.7016,6.1186,25.2791,0.8733,-37.12,1.2726,4.9609,21.3295,-8.366,0.0,10.9986,11.4982
连跌反弹,5,89405,44.53,37.01,-0.1684,111.5674,-41.2284,-0.6953,7.281,-0.2029,-82.67,-0.1027,0.9353,5.4672,-4.6933,1.0,-0.2167,-0.1193
连跌反弹,10,88730,48.94,43.57,0.384,299.741,-61.8374,-0.1927,10.6902,0.1431,-87.48,0.1106,1.1096,7.944,-6.8632,1.0,0.3147,0.4551
连跌反弹,15,84896,48.91,44.72,1.1288,317.1681,-61.3737,-0.2446,12.7995,0.3233,-91.27,0.2078,1.2961,10.1006,-7.4613,1.0,1.0446,1.2148
